Sample,Type,Date,Ca_ueq_L,DOC_mg_L,Flow_cfs,Flow_cfs_em1_Ca,Flow_cfs_em2_Ca,Flow_cfs_em1_DOC,Flow_cfs_em2_DOC,NDI_em1,NDI_em2
W9 stream,mix,1996-04-21 01:00:00,546.4,2.75,3.6819,1.2977947765253701,2.38410522347463,0.8881776315789472,2.793722368421053,0.1873844077024029,-0.07910984629684358
W9 stream,mix,1996-04-21 04:00:00,466.6,3.08,6.09425,1.4979937988180623,4.596256201181937,0.588041666666666,5.506208333333333,0.43621124722342736,-0.0900722916712577
W9 stream,mix,1996-04-21 08:44:00,514.0,3.02,3.72541,1.151777220125249,2.5736327798747505,0.45750649122806986,3.2679035087719304,0.4314159920958472,-0.11885070888740859
W9 stream,mix,1996-04-21 11:29:00,469.1,2.86,5.04623,1.2572500843100818,3.7889799156899184,0.973833859649123,4.072396140350877,0.12703073115125293,-0.03605173224644018
W9 stream,mix,1996-04-21 13:01:00,466.6,3.3,5.5898,1.3739977415815245,4.215802258418476,-0.0,5.5898,1.0,-0.1401237481769053
W9 stream,mix,1996-04-22 10:00:00,591.3,2.23,2.81114,1.159598446808155,1.6515415531918447,1.3192630701754384,1.4918769298245615,-0.06441046515642855,0.05079330805934242
W9 stream,mix,1996-04-22 16:00:00,519.0,2.74,4.65757,1.4711019507730128,3.1864680492269866,1.143964561403508,3.513605438596492,0.125097158273511,-0.04882594048618058
W9 stream,mix,1996-04-22 19:00:00,514.0,2.75,4.28083,1.3234952601804284,2.957334739819571,1.0326563596491225,3.248173640350877,0.12343810902642412,-0.04686786040941868
W9 stream,mix,1996-04-22 22:00:00,516.5,2.6,4.26406,1.3325608081588245,2.931499191841175,1.3091412280701749,2.954918771929825,0.008865337486009903,-0.003978579202630534
W9 stream,mix,1996-04-23 10:00:00,536.5,2.37,3.49783,1.1866230806506415,2.3112069193493583,1.4267464473684208,2.071083552631579,-0.09188266877045635,0.054794032539161146
W9 stream,mix,1996-04-23 11:05:00,646.7,2.4,3.61415,1.7584966508047613,1.855653349195238,1.4266381578947367,2.187511842105263,0.10418977934736884,-0.08207888552861263
W9 stream,mix,1996-04-23 16:45:00,489.0,2.94,6.47548,1.7856030270679737,4.689876972932026,1.0224442105263154,5.4530357894736845,0.2717756333741279,-0.07524059749091748
W9 stream,mix,1996-04-23 18:10:00,449.1,3.22,7.25822,1.6143063314067587,5.643913668593241,0.2546743859649111,7.0035456140350885,0.7274724307235687,-0.10750237775498069
W9 stream,mix,1996-04-23 19:00:00,441.6,3.05,6.84566,1.4539148928996466,5.391745107100353,0.7506206140350877,6.0950393859649115,0.3190215247848036,-0.061226384049352316
W9 stream,mix,1996-04-23 20:03:00,436.6,3.37,7.37493,1.5170304963730514,5.857899503626948,-0.22642328947368517,7.601353289473685,1.3508786999844182,-0.1295357039984011
W9 stream,mix,1996-04-24 01:00:00,456.6,3.03,5.29293,1.2302708515856646,4.062659148414335,0.6267943421052633,4.666135657894737,0.32496247925523186,-0.06913629233719823
W9 stream,mix,1996-04-24 11:20:00,506.5,2.49,3.74589,1.1205531989001258,2.625336801099874,1.3307767105263153,2.415113289473685,-0.0857589632541045,0.04170728959688348
W9 stream,mix,1996-04-24 19:00:00,539.0,3.17,3.24822,1.1127994147866627,2.135420585213337,0.18520552631578935,3.0630144736842104,0.7146304756613849,-0.1784371407859025
W9 stream,mix,1996-04-30 11:55:00,678.7,1.62,1.54672,0.8187343626800248,0.7279856373199751,1.1396884210526315,0.4070315789473685,-0.1638839483683315,0.2827746167834415
W9 stream,mix,1996-05-01 01:00:00,531.5,3.06,4.37166,1.4538461980627806,2.9178138019372195,0.46017473684210486,3.911485263157896,0.519153914724582,-0.14550123691307942
W9 stream,mix,1996-05-02 13:00:00,656.2,2.22,1.70148,0.8494779643042146,0.8520020356957854,0.8059642105263156,0.8955157894736845,0.026285275583457675,-0.024900320415146133
W9 stream,mix,1996-05-04 10:29:00,648.7,2.05,1.54179,0.7542936355450265,0.7874963644549734,0.8452796052631579,0.696510394736842,-0.05688140273724558,0.061311021095134415
W9 stream,mix,1996-05-07 11:25:00,696.6,1.56,0.88649,0.4904632284392888,0.3960267715607111,0.6765318421052632,0.20995815789473687,-0.15944250182577863,0.307051552970434
W9 stream,mix,1996-05-08 10:45:00,736.1,1.78,0.8049,0.48782343489780117,0.3170765651021987,0.5365999999999999,0.2683,-0.04761367559603394,0.0833251073070939
W9 stream,mix,1996-05-09 18:14:00,773.5,1.68,0.72678,0.4768132994929513,0.24996670050704864,0.5163963157894738,0.2103836842105263,-0.03985363782978156,0.08598454049475059
